scenario,container,avg_cpu,avg_mem
1,elasticsearch_container,2.7,986.5
1,full_backend_container,1.88,104.3
1,full_nginx_container,0.055,10.145
1,full_redis_container,0.725,9.625
1,postgres_container,0.2,25.105
10,elasticsearch_container,0.9024,1020.8649
10,full_backend_container,4.2308,106.3243
10,full_nginx_container,0.0378,10.5454
10,full_redis_container,0.7122,9.7939
10,postgres_container,0.4811,28.3997
100,elasticsearch_container,1.2761,1.0906
100,full_backend_container,4.2512,110.3902
100,full_nginx_container,0.0368,10.6466
100,full_redis_container,0.7724,9.7951
100,postgres_container,0.321,57.1522
1000,elasticsearch_container,4.9941,1.0246
1000,full_backend_container,9.2507,109.8732
1000,full_nginx_container,0.3983,10.7273
1000,full_redis_container,0.6161,9.6793
1000,postgres_container,2.5522,59.1546
5000,elasticsearch_container,8.068,1.0664
5000,full_backend_container,22.0254,111.5146
5000,full_nginx_container,0.7422,10.9444
5000,full_redis_container,0.3978,9.6698
5000,postgres_container,8.6149,61.7588
